cur_jan_2022_21109543334_kd09flen2
AccountId,ResourceId,RegionName,UsageDateTime,ServiceCode,CostType,Cost
21109543334,i-du8fhjdfksn992bl,eu-west-1,2022-01-01T00:00:00Z,ec2,RegularCost,5.07
21109543334,i-du8fhjdfksn992bl,eu-west-1,2022-01-01T17:00:00Z,ec2,RegularCost,5.07
21109543334,i-du8fhjdfksn992bl,eu-west-1,2022-01-02T01:00:00Z,ec2,RegularCost,5.07
21109543334,i-du8fhjdfksn992bl,eu-west-1,2022-01-02T04:00:00Z,ec2,RegularCost,5.07
21109543334,i-du8fhjdfksn992bl,eu-west-1,2022-01-02T05:00:00Z,ec2,,5.07
21109543334,i-du8fhjdfksn992bl,eu-west-1,2022-01-02T06:00:00Z,ec2,,5.07
21109543334,i-du8fhjdfksn992bl,eu-west-1,2022-01-02T19:00:00Z,ec2,,5.07
21109543334,vol-od0s67b26eh72g,ap-southeast-1,2022-01-02T20:00:00Z,ec2,RegularCost,2.275
21109543334,vol-od0s67b26eh72g,ap-southeast-1,2022-01-02T21:00:00Z,ec2,RegularCost,2.275
21109543334,vol-od0s67b26eh72g,ap-southeast-1,2022-01-02T22:00:00Z,ec2,RegularCost,2.275
21109543334,vol-od0s67b26eh72g,ap-southeast-1,2022-01-03T02:00:00Z,ec2,RegularCost,2.275
21109543334,vol-od0s67b26eh72g,ap-southeast-1,2022-01-03T03:00:00Z,ec2,RegularCost,2.275
21109543334,i-jd3fjf7dn00192,us-east-1,2022-01-03T09:00:00Z,ec2,RegularCost,4.55
21109543334,i-du8fhjdfksn992bl,eu-west-1,2022-01-03T12:00:00Z,ec2,RegularCost,2.73
21109543334,i-jd3fjf7dn00192,us-east-1,2022-01-03T21:00:00Z,ec2,Credit,4.55
21109543334,i-du8fhjdfksn992bl,eu-west-1,2022-01-03T23:00:00Z,ec2,Credit,4.55
21109543334,i-jd3fjf7dn00192,us-east-1,2022-01-04T00:00:00Z,ec2,Credit,4.55
21109543334,i-jd3fjf7dn00192,us-east-1,2022-01-04T01:00:00Z,rds,RegularCost,4.55
21109543334,i-jd3fjf7dn00192,us-east-1,2022-01-04T03:00:00Z,rds,RegularCost,-500000
21109543334,i-jd3fjf7dn00192,us-east-1,2022-01-04T06:00:00Z,rds,RegularCost,4.55
21109543334,vol-od0s67b26eh72g,ap-southeast-1,2022-01-04T06:00:00Z,rds,RegularCost,2.73
21109543334,vol-od0s67b26eh72g,ap-southeast-1,2022-01-04T07:00:00Z,rds,RegularCost,2.73
21109543334,vol-od0s67b26eh72g,ap-southeast-1,2022-01-04T08:00:00Z,rds,RegularCost,2.73
21109543334,i-9038ff83jf9ddo,us-east-1,2022-01-04T16:00:00Z,rds,RegularCost,2.92
21109543334,i-9038ff83jf9ddo,us-east-1,2022-01-04T17:00:00Z,rds,Credit,2.92
21109543334,i-9038ff83jf9ddo,us-east-1,2022-01-04T18:00:00Z,rds,Credit,2.92
21109543334,i-9038ff83jf9ddo,us-east-1,2022-01-04T20:00:00Z,rds,Discount,2.92
21109543334,i-9038ff83jf9ddo,us-east-1,2022-01-04T23:00:00Z,rds,Discount,2.92
21109543334,i-1019cbne8dm2d,eu-west-1,2022-01-05T04:00:00Z,rds,Discount,4.55
21109543334,vol-od0s67b26eh72g,ap-southeast-1,2022-01-05T06:00:00Z,rds,RegularCost,2.275
21109543334,vol-od0s67b26eh72g,ap-southeast-1,2022-01-05T07:00:00Z,rds,RegularCost,2.275
21109543334,vol-od0s67b26eh72g,ap-southeast-1,2022-01-05T19:00:00Z,rds,RegularCost,2.275
21109543334,vol-od0s67b26eh72g,ap-southeast-1,2022-01-05T20:00:00Z,rds,RegularCost,2.275
21109543334,vol-od0s67b26eh72g,ap-southeast-1,2022-01-05T22:00:00Z,rds,RegularCost,2.275
21109543334,vol-od0s67b26eh72g,ap-southeast-1,2022-01-05T23:00:00Z,rds,RegularCost,2.275
21109543334,i-9038ff83jf9ddo,us-east-1,2022-01-06T03:00:00Z,rds,RegularCost,2.83
21109543334,i-9038ff83jf9ddo,us-east-1,2022-01-06T07:00:00Z,rds,RegularCost,2.83
21109543334,i-9038ff83jf9ddo,us-east-1,2022-01-06T11:00:00Z,rds,RegularCost,2.83
21109543334,i-9038ff83jf9ddo,us-east-1,2022-01-07T02:00:00Z,rds,RegularCost,2.83
21109543334,i-9038ff83jf9ddo,us-east-1,2022-01-07T03:00:00Z,rds,RegularCost,20000.83
21109543334,i-9038ff83jf9ddo,us-east-1,2022-01-07T04:00:00Z,rds,RegularCost,2.83
21109543334,i-pol0ejfl332cz9s,ap-southeast-1,2022-01-07T05:00:00Z,es,Discount,4.2
21109543334,i-9038ff83jf9ddo,us-east-1,2022-01-07T05:00:00Z,es,Discount,2.83
21109543334,i-9038ff83jf9ddo,us-east-1,2022-01-07T08:00:00Z,es,Discount,2.83
